county,		effective_date,	mandate_type
Henry,		2020-08-05,	general
Davidson,	2020-06-29,	general
Williamson,	2020-07-08,	general
Wilson,		2020-07-19,	general
Sumner,		2020-07-07,	general
Montgomery,	2020-07-20,	general
Robertson,	2020-07-08,	limited_public_buildings
Rutherford,	2020-07-22,	general
Cheatham,	NA,		none
Coffee,		NA,		none
Dickson,	NA,		none
Maury,		NA,		none
Putnam,		NA,		none
Hickman,	NA,		none
Marshall,	NA,		none
Shelby,		2020-07-03,	general
Hamilton,	2020-07-10,	general
Sevier,		2020-07-10,	general
Knox,		2020-07-03,	general
Greene,		2020-07-15,	general
Washington,	2020-07-14,	general
